winery,wine,year,rating,num_reviews,region,price,type,body,acidity,winery_category,wine_category,region_category,type_category,norm_rating,norm_num_reviews,norm_price,year_not_defined
Mar de Frades,Rias Baixas Albarino Finca Valinas,2015,4.2,414,Rias Baixas,16.78,Albarino,3.0,3.0,1,1,1,1,0.0,0.0119328813767293,0.0037860177451518,0
Mar de Frades,Rias Baixas Albarino Finca Valinas,2015,4.2,414,Rias Baixas,16.78,Albarino,3.0,3.0,1,1,1,1,0.0,0.0119328813767293,0.0037860177451518,0
Mar de Frades,Rias Baixas Albarino Finca Valinas,2015,4.2,414,Rias Baixas,16.78,Albarino,3.0,3.0,1,1,1,1,0.0,0.0119328813767293,0.0037860177451518,0
Mar de Frades,Rias Baixas Albarino Finca Valinas,2015,4.2,414,Rias Baixas,16.78,Albarino,3.0,3.0,1,1,1,1,0.0,0.0119328813767293,0.0037860177451518,0
Losada,Altos de Losada,2018,4.2,415,Bierzo,17.9,Mencia,3.0,3.0,1,1,1,1,0.0,0.0119635571643301,0.0041456733748864,0
Vega Sicilia,Unico,1995,4.8,926,Ribera del Duero,810.89,Ribera Del Duero Red,5.0,3.0,3,3,1,1,0.8571428571428568,0.0276388846283628,0.2587914928598724,0
Allende,Martires Rioja,2015,4.4,50,Rioja,91.5,Rioja White,3.0,3.0,2,2,1,1,0.2857142857142865,0.0007668946900211,0.0277801861860126,0
La Rioja Alta,Vina Alberdi Crianza,2018,4.2,410,Rioja,13.58,Rioja Red,4.0,3.0,1,1,1,1,0.0,0.0118101782263259,0.0027584302316246,0
La Rioja Alta,Vina Alberdi Crianza,2018,4.2,410,Rioja,13.58,Rioja Red,4.0,3.0,1,1,1,1,0.0,0.0118101782263259,0.0027584302316246,0
La Rioja Alta,Vina Alberdi Crianza,2018,4.2,410,Rioja,13.58,Rioja Red,4.0,3.0,1,1,1,1,0.0,0.0118101782263259,0.0027584302316246,0
La Rioja Alta,Vina Alberdi Crianza,2018,4.2,410,Rioja,13.58,Rioja Red,4.0,3.0,1,1,1,1,0.0,0.0118101782263259,0.0027584302316246,0
La Rioja Alta,Vina Alberdi Crianza,2018,4.2,410,Rioja,13.58,Rioja Red,4.0,3.0,1,1,1,1,0.0,0.0118101782263259,0.0027584302316246,0
Mar de Frades,Rias Baixas Albarino Finca Valinas,2015,4.2,414,Rias Baixas,16.78,Albarino,3.0,3.0,1,1,1,1,0.0,0.0119328813767293,0.0037860177451518,0
Vega Sicilia,Unico Reserva Especial Edicion,2015,4.8,643,Ribera del Duero,345.0,Ribera Del Duero Red,5.0,3.0,3,3,1,1,0.8571428571428568,0.0189576367373232,0.1091843845232475,0
Llopart,Cava Original Brut (Espumos),2010,4.4,49,Cava,52.95,Cava,2.0,3.0,2,2,2,2,0.2857142857142865,0.0007362189024203,0.0154009678589893,0
Bodegas La Horra,Corimbo I,2015,4.2,412,Ribera del Duero,37.9,Ribera Del Duero Red,4.0,3.0,1,1,1,1,0.0,0.0118715298015276,0.0105680953344315,0
Bodegas La Horra,Corimbo I,2015,4.2,412,Ribera del Duero,37.9,Ribera Del Duero Red,5.0,3.0,1,1,1,1,0.0,0.0118715298015276,0.0105680953344315,0
Bodegas La Horra,Corimbo I,2015,4.2,412,Ribera del Duero,37.9,Ribera Del Duero Red,5.0,3.0,1,1,1,1,0.0,0.0118715298015276,0.0105680953344315,0
Bodegas La Horra,Corimbo I,2015,4.2,412,Ribera del Duero,37.9,Ribera Del Duero Red,5.0,3.0,1,1,1,1,0.0,0.0118715298015276,0.0105680953344315,0
Bodegas La Horra,Corimbo I,2015,4.2,412,Ribera del Duero,37.9,Ribera Del Duero Red,5.0,3.0,1,1,1,1,0.0,0.0118715298015276,0.0105680953344315,0
La Rioja Alta,Vina Alberdi Crianza,2018,4.2,410,Rioja,13.58,Rioja Red,4.0,3.0,1,1,1,1,0.0,0.0118101782263259,0.0027584302316246,0
Vega Sicilia,Unico,2011,4.8,630,Ribera del Duero,315.0,Ribera Del Duero Red,5.0,3.0,3,3,1,1,0.8571428571428568,0.0185588514985122,0.0995507515839298,0
Albet i Noya,Marti Reserva Penedes,2015,4.4,49,Penedes,35.15,Red,4.0,3.0,2,2,2,1,0.2857142857142865,0.0007362189024203,0.0096850123149941,0
Vina Pedrosa,Gran Reserva,2011,4.2,410,Ribera del Duero,51.35,Ribera Del Duero Red,4.0,3.0,1,1,1,1,0.0,0.0118101782263259,0.0148871741022256,0
Vina Pedrosa,Gran Reserva,2011,4.2,410,Ribera del Duero,51.35,Ribera Del Duero Red,5.0,3.0,1,1,1,1,0.0,0.0118101782263259,0.0148871741022256,0
Vina Pedrosa,Gran Reserva,2011,4.2,410,Ribera del Duero,51.35,Ribera Del Duero Red,5.0,3.0,1,1,1,1,0.0,0.0118101782263259,0.0148871741022256,0
Vina Pedrosa,Gran Reserva,2011,4.2,410,Ribera del Duero,51.35,Ribera Del Duero Red,5.0,3.0,1,1,1,1,0.0,0.0118101782263259,0.0148871741022256,0
Vina Pedrosa,Gran Reserva,2011,4.2,410,Ribera del Duero,51.35,Ribera Del Duero Red,5.0,3.0,1,1,1,1,0.0,0.0118101782263259,0.0148871741022256,0
Bodegas La Horra,Corimbo I,2015,4.2,412,Ribera del Duero,37.9,Ribera Del Duero Red,5.0,3.0,1,1,1,1,0.0,0.0118715298015276,0.0105680953344315,0
Vega Sicilia,Unico Reserva Especial Edicion,2016,4.8,591,Ribera del Duero,514.85,Ribera Del Duero Red,5.0,3.0,3,3,1,1,0.8571428571428568,0.0173624957820792,0.1637268030146848,0
La Rioja Alta,Vina Ardanza Reserva Seleccion Especial,2015,4.4,49,Rioja,23.0,Rioja Red,4.0,3.0,1,2,1,1,0.2857142857142865,0.0007362189024203,0.0057833909745704,0
Campillo,Gran Reserva Rioja,2012,4.2,410,Rioja,22.99,Rioja Red,4.0,3.0,1,1,1,1,0.0,0.0118101782263259,0.0057801797635906,0
Campillo,Gran Reserva Rioja,2012,4.2,410,Rioja,22.99,Rioja Red,4.0,3.0,1,1,1,1,0.0,0.0118101782263259,0.0057801797635906,0
Campillo,Gran Reserva Rioja,2012,4.2,410,Rioja,22.99,Rioja Red,4.0,3.0,1,1,1,1,0.0,0.0118101782263259,0.0057801797635906,0
Campillo,Gran Reserva Rioja,2012,4.2,410,Rioja,22.99,Rioja Red,4.0,3.0,1,1,1,1,0.0,0.0118101782263259,0.0057801797635906,0
Campillo,Gran Reserva Rioja,2012,4.2,410,Rioja,22.99,Rioja Red,4.0,3.0,1,1,1,1,0.0,0.0118101782263259,0.0057801797635906,0
Vina Pedrosa,Gran Reserva,2011,4.2,410,Ribera del Duero,51.35,Ribera Del Duero Red,5.0,3.0,1,1,1,1,0.0,0.0118101782263259,0.0148871741022256,0
Pago de Carraovejas,El Anejon,2016,4.8,454,Ribera del Duero,105.15,Ribera Del Duero Red,5.0,3.0,3,3,1,1,0.8571428571428568,0.0131599128807632,0.0321634891734021,0
Juan Pinero,Oloroso 30 Years Old V.O.R.S,0,4.4,48,Jerez Oloroso,37.9,Sherry,4.0,3.0,2,2,2,1,0.2857142857142865,0.0007055431148194,0.0105680953344315,1
Ramon do Casar,Treixadura,2020,4.2,407,Ribeiro,11.95,Unknown,4.0,3.0,1,1,1,1,0.0,0.0117181508635234,0.0022350028419217,0
Ramon do Casar,Treixadura,2020,4.2,407,Ribeiro,11.95,Unknown,4.0,3.0,1,1,1,1,0.0,0.0117181508635234,0.0022350028419217,0
Ramon do Casar,Treixadura,2020,4.2,407,Ribeiro,11.95,Unknown,4.0,3.0,1,1,1,1,0.0,0.0117181508635234,0.0022350028419217,0
Ramon do Casar,Treixadura,2020,4.2,407,Ribeiro,11.95,Unknown,4.0,3.0,1,1,1,1,0.0,0.0117181508635234,0.0022350028419217,0
Ramon do Casar,Treixadura,2020,4.2,407,Ribeiro,11.95,Unknown,4.0,3.0,1,1,1,1,0.0,0.0117181508635234,0.0022350028419217,0
Campillo,Gran Reserva Rioja,2012,4.2,410,Rioja,22.99,Rioja Red,4.0,3.0,1,1,1,1,0.0,0.0118101782263259,0.0057801797635906,0
Vega Sicilia,Unico Reserva Especial Edicion,2018,4.8,438,Ribera del Duero,430.0,Ribera Del Duero Red,5.0,3.0,3,3,1,1,0.8571428571428568,0.0126691002791496,0.1364796778513145,0
Olivier Riviere,Pozo Alto,2016,4.4,48,Rioja,119.95,Rioja Red,4.0,3.0,2,2,1,1,0.2857142857142865,0.0007055431148194,0.0369160814234656,0
Lustau,Candela Cream Dulce Sweet,0,4.2,405,Jerez-Xeres-Sherry,7.1,Sherry,4.0,3.0,1,1,1,1,0.0,0.0116567992883217,0.000677565516732,1
Lustau,Candela Cream Dulce Sweet,0,4.2,405,Jerez-Xeres-Sherry,7.1,Sherry,4.0,3.0,1,1,1,1,0.0,0.0116567992883217,0.000677565516732,1
Lustau,Candela Cream Dulce Sweet,0,4.2,405,Jerez-Xeres-Sherry,7.1,Sherry,4.0,3.0,1,1,1,1,0.0,0.0116567992883217,0.000677565516732,1
Lustau,Candela Cream Dulce Sweet,0,4.2,405,Jerez-Xeres-Sherry,7.1,Sherry,4.0,3.0,1,1,1,1,0.0,0.0116567992883217,0.000677565516732,1
Lustau,Candela Cream Dulce Sweet,0,4.2,405,Jerez-Xeres-Sherry,7.1,Sherry,4.0,3.0,1,1,1,1,0.0,0.0116567992883217,0.000677565516732,1
Ramon do Casar,Treixadura,2020,4.2,407,Ribeiro,11.95,Unknown,4.0,3.0,1,1,1,1,0.0,0.0117181508635234,0.0022350028419217,0
Vega Sicilia,Unico,1970,4.8,417,Ribera del Duero,925.0,Ribera Del Duero Red,5.0,3.0,3,3,1,1,0.8571428571428568,0.0120249087395318,0.2954346213500573,0
Bodegas Amaren,El Cristo de Samaniego,2017,4.4,47,Rioja Alavesa,42.9,Rioja Red,4.0,3.0,2,2,2,1,0.2857142857142865,0.0006748673272186,0.0121737008243178,0
Portal del Priorat,Clos del Portal Somni,2014,4.2,404,Priorato,77.36,Priorat Red,4.0,3.0,1,1,1,1,0.0,0.0116261235007208,0.0232395338606141,0
Portal del Priorat,Clos del Portal Somni,2014,4.2,404,Priorato,77.36,Priorat Red,4.0,3.0,1,1,1,1,0.0,0.0116261235007208,0.0232395338606141,0
Portal del Priorat,Clos del Portal Somni,2014,4.2,404,Priorato,77.36,Priorat Red,4.0,3.0,1,1,1,1,0.0,0.0116261235007208,0.0232395338606141,0
Portal del Priorat,Clos del Portal Somni,2014,4.2,404,Priorato,77.36,Priorat Red,4.0,3.0,1,1,1,1,0.0,0.0116261235007208,0.0232395338606141,0
Portal del Priorat,Clos del Portal Somni,2014,4.2,404,Priorato,77.36,Priorat Red,4.0,3.0,1,1,1,1,0.0,0.0116261235007208,0.0232395338606141,0
Lustau,Candela Cream Dulce Sweet,0,4.2,405,Jerez-Xeres-Sherry,7.1,Sherry,4.0,3.0,1,1,1,1,0.0,0.0116567992883217,0.000677565516732,1
Toro Albala,Don PX Convento Seleccion,1946,4.8,398,Montilla-Moriles,350.0,Pedro Ximenez,5.0,1.0,3,3,3,2,0.8571428571428568,0.0114420687751158,0.1107899900131338,0
Bodegas Tierra,El Belisario,2016,4.4,47,Rioja,39.9,Tempranillo,4.0,2.0,2,2,1,1,0.2857142857142865,0.0006748673272186,0.011210337530386,0
Binigrau,Nounat,2020,4.2,404,Mallorca,19.9,Unknown,4.0,3.0,1,1,1,1,0.0,0.0116261235007208,0.0047879155708409,0
Binigrau,Nounat,2020,4.2,404,Mallorca,19.9,Unknown,4.0,3.0,1,1,1,1,0.0,0.0116261235007208,0.0047879155708409,0
Binigrau,Nounat,2020,4.2,404,Mallorca,19.9,Unknown,4.0,3.0,1,1,1,1,0.0,0.0116261235007208,0.0047879155708409,0
Binigrau,Nounat,2020,4.2,404,Mallorca,19.9,Unknown,4.0,3.0,1,1,1,1,0.0,0.0116261235007208,0.0047879155708409,0
Binigrau,Nounat,2020,4.2,404,Mallorca,19.9,Unknown,4.0,3.0,1,1,1,1,0.0,0.0116261235007208,0.0047879155708409,0
Portal del Priorat,Clos del Portal Somni,2014,4.2,404,Priorato,77.36,Priorat Red,4.0,3.0,1,1,1,1,0.0,0.0116261235007208,0.0232395338606141,0
Pago de Carraovejas,Cuesta de Las Liebres,2015,4.8,372,Ribera del Duero,166.18,Ribera Del Duero Red,5.0,3.0,3,3,1,1,0.8571428571428568,0.0106444982974937,0.0517615097829542,0
Torre de Ona,Baron de Ona Rioja Reserva,1995,4.4,46,Rioja,50.0,Rioja Red,4.0,3.0,2,2,1,1,0.2857142857142865,0.0006441915396177,0.0144536606199563,0
Ramon Bilbao,Mirto,2011,4.2,402,Rioja,28.53,Rioja Red,4.0,3.0,1,1,1,1,0.0,0.0115647719255191,0.0075591906463846,0
Ramon Bilbao,Mirto,2011,4.2,402,Rioja,28.53,Rioja Red,4.0,3.0,1,1,1,1,0.0,0.0115647719255191,0.0075591906463846,0
Ramon Bilbao,Mirto,2011,4.2,402,Rioja,28.53,Rioja Red,4.0,3.0,1,1,1,1,0.0,0.0115647719255191,0.0075591906463846,0
Ramon Bilbao,Mirto,2011,4.2,402,Rioja,28.53,Rioja Red,4.0,3.0,1,1,1,1,0.0,0.0115647719255191,0.0075591906463846,0
Ramon Bilbao,Mirto,2011,4.2,402,Rioja,28.53,Rioja Red,4.0,3.0,1,1,1,1,0.0,0.0115647719255191,0.0075591906463846,0
Binigrau,Nounat,2020,4.2,404,Mallorca,19.9,Unknown,4.0,3.0,1,1,1,1,0.0,0.0116261235007208,0.0047879155708409,0
Vega Sicilia,Unico,1962,4.8,295,Ribera del Duero,1620.0,Ribera Del Duero Red,5.0,3.0,3,3,1,1,0.8571428571428568,0.0082824626522285,0.5186137844442518,0
Clos Erasmus,Priorat,2017,4.4,45,Priorato,209.31,Priorat Red,4.0,3.0,2,2,1,1,0.2857142857142865,0.0006135157520169,0.0656114627387134,0
Matsu,El Viejo,2019,4.2,400,Toro,27.89,Toro Red,4.0,3.0,1,1,1,1,0.0,0.0115034203503174,0.0073536731436792,0
Matsu,El Viejo,2019,4.2,400,Toro,27.89,Toro Red,5.0,3.0,1,1,1,1,0.0,0.0115034203503174,0.0073536731436792,0
Matsu,El Viejo,2019,4.2,400,Toro,27.89,Toro Red,5.0,3.0,1,1,1,1,0.0,0.0115034203503174,0.0073536731436792,0
Matsu,El Viejo,2019,4.2,400,Toro,27.89,Toro Red,5.0,3.0,1,1,1,1,0.0,0.0115034203503174,0.0073536731436792,0
Matsu,El Viejo,2019,4.2,400,Toro,27.89,Toro Red,5.0,3.0,1,1,1,1,0.0,0.0115034203503174,0.0073536731436792,0
Ramon Bilbao,Mirto,2011,4.2,402,Rioja,28.53,Rioja Red,4.0,3.0,1,1,1,1,0.0,0.0115647719255191,0.0075591906463846,0
Vega Sicilia,Unico Reserva Especial Edicion,2019,4.8,250,Ribera del Duero,431.36,Ribera Del Duero Red,5.0,3.0,3,3,1,1,0.8571428571428568,0.0069020522101904,0.1369164025445635,0
Toro Albala,Don PX Seleccion,1968,4.4,45,Montilla-Moriles,165.0,Pedro Ximenez,5.0,1.0,3,3,3,2,0.2857142857142865,0.0006135157520169,0.051382586887341,0
Artadi,Valdegines,2016,4.2,398,Vino de Espana,48.96,Tempranillo,4.0,2.0,1,1,1,1,0.0,0.0114420687751158,0.01411969467806,0
Artadi,Valdegines,2016,4.2,398,Vino de Espana,48.96,Tempranillo,4.0,2.0,1,1,1,1,0.0,0.0114420687751158,0.01411969467806,0
Artadi,Valdegines,2016,4.2,398,Vino de Espana,48.96,Tempranillo,4.0,2.0,1,1,1,1,0.0,0.0114420687751158,0.01411969467806,0
Artadi,Valdegines,2016,4.2,398,Vino de Espana,48.96,Tempranillo,4.0,2.0,1,1,1,1,0.0,0.0114420687751158,0.01411969467806,0
Artadi,Valdegines,2016,4.2,398,Vino de Espana,48.96,Tempranillo,4.0,2.0,1,1,1,1,0.0,0.0114420687751158,0.01411969467806,0
Matsu,El Viejo,2019,4.2,400,Toro,27.89,Toro Red,5.0,3.0,1,1,1,1,0.0,0.0115034203503174,0.0073536731436792,0
Bodegas El Nido,El Nido,2018,4.8,217,Jumilla,195.62738,Red,4.0,3.0,3,3,2,1,0.8571428571428568,0.0058897512193625,0.0612176847811078,0
Monte Real,Gran Reserva,1978,4.4,45,Rioja,97.0,Rioja Red,4.0,3.0,2,1,1,1,0.2857142857142865,0.0006135157520169,0.0295463522248875,0
Contino,Rioja Graciano,2011,4.2,395,Rioja,61.94,Rioja Red,4.0,3.0,1,1,1,1,0.0,0.0113500414123132,0.0182878465298048,0
Contino,Rioja Graciano,2011,4.2,395,Rioja,61.94,Rioja Red,4.0,3.0,1,1,1,1,0.0,0.0113500414123132,0.0182878465298048,0
Contino,Rioja Graciano,2011,4.2,395,Rioja,61.94,Rioja Red,4.0,3.0,1,1,1,1,0.0,0.0113500414123132,0.0182878465298048,0
Contino,Rioja Graciano,2011,4.2,395,Rioja,61.94,Rioja Red,4.0,3.0,1,1,1,1,0.0,0.0113500414123132,0.0182878465298048,0
Contino,Rioja Graciano,2011,4.2,395,Rioja,61.94,Rioja Red,4.0,3.0,1,1,1,1,0.0,0.0113500414123132,0.0182878465298048,0
Artadi,Valdegines,2016,4.2,398,Vino de Espana,48.96,Tempranillo,4.0,2.0,1,1,1,1,0.0,0.0114420687751158,0.01411969467806,0
Vega Sicilia,Unico Reserva Especial Edicion,2004,4.8,211,Ribera del Duero,824.43,Ribera Del Duero Red,5.0,3.0,3,3,1,1,0.8571428571428568,0.0057056964937574,0.2631394725264844,0
Do Ferreiro (Bodegas Gerardo Mendez),Cepas Vellas Rias Baixas Albarino,2020,4.4,44,Rias Baixas,26.5,Albarino,3.0,3.0,2,2,1,1,0.2857142857142865,0.000582839964416,0.0069073148174908,0
Contino,Reserva,2016,4.2,392,Rioja,19.98,Rioja Red,4.0,3.0,1,1,1,1,0.0,0.0112580140495107,0.0048136052586791,0
Contino,Reserva,2016,4.2,392,Rioja,19.98,Rioja Red,4.0,3.0,1,1,1,1,0.0,0.0112580140495107,0.0048136052586791,0
Contino,Reserva,2016,4.2,392,Rioja,19.98,Rioja Red,4.0,3.0,1,1,1,1,0.0,0.0112580140495107,0.0048136052586791,0
Contino,Reserva,2016,4.2,392,Rioja,19.98,Rioja Red,4.0,3.0,1,1,1,1,0.0,0.0112580140495107,0.0048136052586791,0
Contino,Reserva,2016,4.2,392,Rioja,19.98,Rioja Red,4.0,3.0,1,1,1,1,0.0,0.0112580140495107,0.0048136052586791,0
Contino,Rioja Graciano,2011,4.2,395,Rioja,61.94,Rioja Red,4.0,3.0,1,1,1,1,0.0,0.0113500414123132,0.0182878465298048,0
Valdespino,Toneles Moscatel,0,4.8,174,Jerez-Xeres-Sherry,253.0,Sherry,4.0,3.0,3,3,1,1,0.8571428571428568,0.0045706923525261,0.0796412435093398,1
Legaris,La Aguilera,2016,4.4,44,Ribera del Duero,32.5,Ribera Del Duero Red,5.0,3.0,2,2,1,1,0.2857142857142865,0.000582839964416,0.0088340414053543,0
Conreria d'Scala Dei,Les Brugueres,2018,4.2,390,Priorato,16.76,Priorat Red,4.0,3.0,1,1,1,1,0.0,0.011196662474309,0.0037795953231923,0
